iter	RMSE
0	1.89712727
1	1.885368011
2	1.874266968
3	1.863366015
4	1.853355198
5	1.843788158
6	1.834413519
7	1.82594611
8	1.817669301
9	1.809802898
10	1.80212161
11	1.795201215
12	1.788397334
13	1.781865337
14	1.775597548
15	1.769828755
16	1.76434677
17	1.758938352
18	1.754017708
19	1.74928458
20	1.744756191
21	1.740419178
22	1.736381623
23	1.732501463
24	1.728475037
25	1.72469849
26	1.721074563
27	1.717344446
28	1.714109316
29	1.710730176
30	1.707923619
31	1.705112706
32	1.702469976
33	1.700011823
34	1.697951704
35	1.695706392
36	1.693314862
37	1.69125828
38	1.689291436
39	1.687095041
40	1.685279387
41	1.683449254
42	1.681673472
43	1.680223469
44	1.678578191
45	1.677254694
46	1.675901728
47	1.674394722
48	1.673073872
49	1.671711953
50	1.670556493
51	1.668841441
52	1.667471769
53	1.666362073
54	1.665343834
55	1.664401479
56	1.663391271
57	1.662507397
58	1.661520248
59	1.660630384
60	1.659705895
61	1.658578677
62	1.65720548
63	1.656253612
64	1.655349066
65	1.654525002
66	1.653797569
67	1.653137861
68	1.652247166
69	1.651479979
70	1.65063256
71	1.649779868
72	1.649082433
73	1.648392848
74	1.647396611
75	1.646369058
76	1.645765779
77	1.645197389
78	1.644370089
79	1.64374906
80	1.643275962
81	1.642779208
82	1.642240441
83	1.641827237
84	1.64121772
85	1.64079469
86	1.639938687
87	1.639092984
88	1.638632482
89	1.63802645
90	1.637435741
91	1.637062412
92	1.63631386
93	1.635526035
94	1.63498584
95	1.634580804
96	1.634154455
97	1.63367984
98	1.632853644
99	1.632164083
100	1.631445069
101	1.630971249
102	1.630603146
103	1.630071331
104	1.629769729
105	1.629238441
106	1.628887751
107	1.628580971
108	1.628195304
109	1.627690412
110	1.627375144
111	1.626827324
112	1.626436071
113	1.625942528
114	1.625665688
115	1.625157863
116	1.624519168
117	1.623997324
118	1.623535263
119	1.623291945
120	1.62286008
121	1.622398738
122	1.622025011
123	1.621543582
124	1.621176787
125	1.620885194
126	1.620653007
127	1.620432709
128	1.619884113
129	1.619251535
130	1.61866536
131	1.618156988
132	1.617764748
133	1.617289713
134	1.616795643
135	1.616102896
136	1.615807059
137	1.615004265
138	1.614802869
139	1.614441311
140	1.614178599
141	1.613942908
142	1.613252841
143	1.612768212
144	1.612228814
145	1.611973902
146	1.611596167
147	1.611202866
148	1.610777396
149	1.610169627
150	1.609685034
151	1.609263905
152	1.609100107
153	1.608951902
154	1.608486074
155	1.607956458
156	1.607572157
157	1.607102383
158	1.606558114
159	1.606129299
160	1.605922875
161	1.605468431
162	1.604917542
163	1.604608228
164	1.604367314
165	1.603861782
166	1.603438724
167	1.603229538
168	1.603005087
169	1.602567877
170	1.60245389
171	1.602194374
172	1.602004805
173	1.601687945
174	1.601334714
175	1.601121224
176	1.600816075
177	1.600672099
178	1.600359852
179	1.599976954
180	1.599605211
181	1.599271653
182	1.599129541
183	1.598743491
184	1.598449633
185	1.598048846
186	1.597729688
187	1.597333477
188	1.597046184
189	1.596879715
190	1.59668041
191	1.596503629
192	1.596377345
193	1.596069054
194	1.595610067
195	1.595181513
196	1.595031083
197	1.594627207
198	1.594298793
