iter	Passed	Remaining
0	267	400315
1	359	269364
2	461	230057
3	558	209058
4	650	194510
5	736	183279
6	830	177200
7	924	172393
8	1032	170991
9	1126	167811
10	1201	162645
11	1277	158376
12	1353	154847
13	1440	152901
14	1511	149596
15	1571	145744
16	1656	144523
17	1741	143350
18	1825	142329
19	1911	141475
20	1990	140178
21	2076	139524
22	2155	138416
23	2240	137821
24	2327	137345
25	2414	136906
26	2504	136654
27	2606	137034
28	2697	136803
29	2785	136501
30	2867	135861
31	2946	135185
32	3041	135207
33	3143	135551
34	3232	135294
35	3323	135161
36	3422	135339
37	3503	134793
38	3594	134649
39	3685	134531
40	3764	133971
41	3842	133383
42	3939	133493
43	4011	132740
44	4103	132670
45	4171	131869
46	4251	131441
47	4340	131299
48	4434	131318
49	4530	131395
50	4621	131316
51	4726	131601
52	4828	131830
53	4923	131836
54	5002	131429
55	5091	131287
56	5168	130849
57	5243	130365
58	5339	130400
59	5423	130170
60	5508	129943
61	5585	129556
62	5681	129601
63	5771	129500
64	5861	129412
65	5960	129495
66	6042	129232
67	6122	128932
68	6209	128771
69	6289	128495
70	6372	128258
71	6465	128238
72	6557	128181
73	6647	128097
74	6743	128128
75	6836	128093
76	6917	127831
77	7001	127640
78	7085	127446
79	7172	127311
80	7248	126979
81	7339	126913
82	7423	126729
83	7509	126585
84	7594	126418
85	7680	126282
86	7764	126112
87	7875	126365
88	7981	126540
89	8067	126389
90	8164	126416
91	8250	126268
92	8357	126445
93	8476	126791
94	8588	127022
95	8679	126943
96	8771	126874
97	8891	127197
98	9007	127465
99	9121	127707
100	9214	127629
101	9296	127422
102	9396	127442
103	9519	127777
104	9600	127545
105	9697	127534
106	9790	127460
107	9879	127340
108	9973	127270
109	10067	127212
110	10156	127099
111	10262	127187
112	10366	127240
113	10483	127451
114	10567	127268
115	10658	127164
116	10769	127303
117	10859	127183
118	10950	127084
119	11046	127039
120	11155	127133
121	11245	127021
122	11351	127076
123	11440	126952
124	11524	126764
125	11609	126596
126	11700	126490
127	11792	126402
128	11902	126501
129	12023	126706
130	12125	126719
131	12220	126643
132	12331	126741
133	12430	126713
134	12520	126599
135	12621	126589
136	12690	126254
137	12819	126520
138	12905	126364
139	13002	126307
140	13095	126223
141	13178	126029
142	13279	126011
143	13357	125786
144	13457	125760
145	13544	125615
146	13643	125572
147	13726	125390
148	13814	125262
149	13918	125266
150	14014	125201
151	14106	125099
152	14180	124842
153	14247	124530
154	14349	124519
155	14448	124482
156	14545	124426
157	14638	124334
158	14741	124327
159	14850	124369
160	14948	124324
161	15055	124344
162	15162	124371
163	15240	124153
164	15336	124082
165	15444	124116
166	15532	123980
167	15615	123805
168	15698	123640
169	15797	123593
170	15864	123300
171	15967	123285
172	16063	123214
173	16161	123163
174	16246	123010
175	16331	122853
176	16432	122829
177	16517	122672
178	16620	122656
179	16696	122438
180	16792	122372
181	16892	122331
182	16982	122220
183	17079	122154
184	17177	122096
185	17268	121994
186	17380	122034
187	17483	122015
188	17588	122004
189	17675	121865
190	17763	121740
191	17845	121573
192	17930	121422
193	18026	121353
194	18128	121319
195	18222	121235
196	18302	121055
197	18401	121006
198	18501	120958
