AD_ID,CPM,VIEWS,CLICKS,ACTIONS,CHANNEL_NAME,DATE
10000,9.56,584,40,4,travel_channel_20,2024-10-27
10001,5.72,475,27,2,education_channel_6,2024-10-06
10002,5.63,556,14,4,education_channel_47,2024-11-03
10003,4.96,204,29,0,tech_channel_32,2024-12-02
10004,2.66,1959,237,1,tech_channel_21,2024-11-03
10005,4.21,393,5,0,business_channel_5,2024-11-06
10006,2.04,2000,112,10,sports_channel_6,2024-11-02
10007,7.42,711,36,0,entertainment_channel_21,2024-11-09
10008,6.73,303,18,0,travel_channel_49,2024-12-09
10009,82.73,125,5,0,business_channel_34,2024-10-06
10010,4.84,1142,94,1,news_channel_33,2024-12-07
10011,7.33,377,26,1,entertainment_channel_23,2024-10-22
10012,5.52,121,7,1,news_channel_26,2024-10-07
10013,7.55,330,11,0,entertainment_channel_28,2024-10-30
10014,6.32,472,8,0,business_channel_34,2024-10-16
10015,2.02,1967,110,6,business_channel_27,2024-11-21
10016,9.07,614,21,3,education_channel_47,2024-11-12
10017,9.09,332,51,7,news_channel_19,2024-11-21
10018,3.14,581,76,1,business_channel_22,2024-10-15
10019,45.38,197,4,0,lifestyle_channel_17,2024-12-17
10020,1.22,1857,106,6,business_channel_12,2024-12-08
10021,38.52,60,6,0,business_channel_22,2024-11-13
10022,5.66,869,107,14,lifestyle_channel_30,2024-12-25
10023,5.51,788,70,3,travel_channel_8,2024-11-06
10024,1.32,1303,220,42,education_channel_6,2024-12-18
10025,2.94,777,29,2,sports_channel_10,2024-10-25
10026,3.91,855,35,6,news_channel_17,2024-11-11
10027,3.25,848,157,5,business_channel_5,2024-10-09
10028,7.82,67,6,0,education_channel_45,2024-10-10
10029,6.54,442,31,1,lifestyle_channel_5,2024-10-22
10030,6.78,100,7,0,lifestyle_channel_17,2024-12-19
10031,91.48,29,2,0,business_channel_11,2024-10-16
10032,3.54,330,42,1,travel_channel_16,2024-12-21
10033,47.14,97,3,0,news_channel_26,2024-11-14
10034,8.44,302,30,4,tech_channel_32,2024-12-02
10035,7.77,647,41,2,education_channel_6,2024-10-29
10036,2.05,550,20,0,sports_channel_6,2024-12-28
10037,9.88,250,38,3,entertainment_channel_21,2024-12-05
10038,9.16,126,10,0,tech_channel_2,2024-10-11
10039,43.74,87,10,0,news_channel_33,2024-11-20
10040,57.08,152,41,0,travel_channel_49,2024-11-16
10041,2.69,730,152,14,tech_channel_36,2024-11-01
10042,84.03,140,2,0,business_channel_5,2024-12-11
10043,23.54,198,11,0,news_channel_14,2024-10-31
10044,8.78,785,60,10,news_channel_19,2024-11-17
10045,64.56,63,1,0,lifestyle_channel_30,2024-10-06
10046,8.67,404,21,1,travel_channel_20,2024-10-30
10047,1.13,1185,135,9,travel_channel_8,2024-10-04
10048,6.6,827,12,0,tech_channel_2,2024-10-07
10049,2.16,324,8,1,news_channel_21,2024-12-09
10050,2.55,347,21,0,tech_channel_32,2024-11-20
10051,7.21,136,7,0,news_channel_26,2024-10-05
10052,5.36,576,118,13,entertainment_channel_23,2024-10-30
10053,5.03,603,88,2,business_channel_18,2024-11-02
10054,9.01,437,25,2,news_channel_14,2024-11-18
10055,4.27,760,144,1,education_channel_45,2024-12-12
10056,2.45,470,45,0,lifestyle_channel_30,2024-12-22
10057,3.32,421,20,1,tech_channel_30,2024-11-30
10058,4.83,497,56,0,travel_channel_34,2024-10-30
10059,2.21,323,6,0,travel_channel_20,2024-10-02
10060,4.71,590,67,0,business_channel_11,2024-12-14
10061,8.16,201,34,1,news_channel_33,2024-10-20
10062,8.35,383,4,0,entertainment_channel_21,2024-11-10
10063,66.18,38,5,0,sports_channel_10,2024-10-25
10064,80.97,30,4,0,tech_channel_21,2024-11-29
10065,8.62,164,23,3,tech_channel_21,2024-12-21
10066,5.88,266,2,0,sports_channel_15,2024-10-25
10067,8.85,753,209,14,news_channel_33,2024-12-22
10068,7.63,796,27,0,entertainment_channel_21,2024-10-08
10069,4.02,747,69,6,business_channel_35,2024-12-20
10070,5.07,285,19,2,news_channel_17,2024-12-06
10071,6.97,285,4,0,lifestyle_channel_30,2024-10-20
10072,7.75,239,13,0,entertainment_channel_15,2024-12-19
10073,6.04,178,11,0,business_channel_11,2024-12-26
10074,3.08,777,142,3,business_channel_35,2024-12-18
10075,7.5,721,170,29,education_channel_6,2024-10-29
10076,83.57,49,1,0,business_channel_12,2024-12-05
10077,3.65,1277,182,0,travel_channel_4,2024-12-30
10078,2.25,1728,28,6,business_channel_34,2024-10-03
10079,3.47,797,38,6,entertainment_channel_34,2024-11-26
10080,2.58,1655,267,32,tech_channel_2,2024-10-12
10081,3.21,546,110,5,education_channel_47,2024-12-24
10082,1.28,880,47,6,business_channel_27,2024-12-12
10083,7.55,513,9,0,education_channel_45,2024-12-01
10084,9.26,199,3,0,business_channel_12,2024-12-08
10085,7.23,584,37,3,travel_channel_40,2024-11-08
10086,97.4,137,10,0,news_channel_26,2024-12-22
10087,7.27,331,33,2,entertainment_channel_15,2024-11-01
10088,65.43,40,2,0,sports_channel_31,2024-11-21
10089,6.65,1011,67,3,travel_channel_4,2024-11-24
10090,3.59,401,29,0,business_channel_12,2024-11-04
10091,52.07,106,3,0,business_channel_18,2024-11-14
10092,2.68,1133,224,40,travel_channel_4,2024-11-11
10093,6.22,175,6,0,business_channel_28,2024-11-05
10094,3.34,967,48,2,lifestyle_channel_18,2024-10-04
10095,6.09,331,27,2,business_channel_22,2024-12-25
10096,7.12,658,44,0,business_channel_28,2024-10-05
10097,3.58,959,84,16,news_channel_19,2024-12-30
10098,5.87,787,87,9,news_channel_19,2024-10-04
10099,6.24,430,22,0,business_channel_34,2024-10-19
10100,7.93,492,16,1,entertainment_channel_15,2024-11-28
10101,23.6,188,40,8,tech_channel_21,2024-11-15
10102,30.7,64,1,0,entertainment_channel_28,2024-11-05
10103,8.6,658,33,0,business_channel_27,2024-11-09
10104,4.87,276,27,1,business_channel_49,2024-10-15
10105,5.32,655,46,2,education_channel_49,2024-12-15
10106,9.88,137,21,1,entertainment_channel_15,2024-10-14
10107,1.71,964,63,0,travel_channel_8,2024-10-06
10108,7.36,111,10,1,news_channel_14,2024-11-13
10109,9.05,428,59,0,lifestyle_channel_5,2024-10-08
10110,2.44,1261,156,16,entertainment_channel_15,2024-12-23
10111,68.53,46,4,0,business_channel_18,2024-12-09
10112,4.34,866,64,7,business_channel_28,2024-12-30
10113,28.96,197,9,0,business_channel_34,2024-12-11
10114,26.29,316,38,2,tech_channel_30,2024-12-21
10115,33.23,165,22,0,tech_channel_30,2024-10-14
10116,8.46,295,46,0,sports_channel_6,2024-11-29
10117,8.25,591,101,8,travel_channel_49,2024-11-30
10118,2.1,1061,135,40,travel_channel_49,2024-11-05
10119,5.64,617,79,18,tech_channel_36,2024-11-10
10120,4.99,896,109,5,lifestyle_channel_35,2024-11-17
10121,9.38,482,58,0,lifestyle_channel_18,2024-10-02
10122,14.34,526,46,13,news_channel_19,2024-10-20
10123,7.86,564,19,1,sports_channel_31,2024-12-26
10124,7.26,395,24,1,lifestyle_channel_17,2024-11-24
10125,8.77,369,85,11,business_channel_5,2024-12-11
10126,7.88,639,76,0,business_channel_5,2024-12-25
10127,3.31,426,71,7,entertainment_channel_21,2024-12-03
10128,2.1,503,56,3,business_channel_28,2024-12-20
10129,6.7,788,61,4,news_channel_33,2024-10-11
10130,9.1,239,8,0,travel_channel_20,2024-11-22
10131,2.51,1376,44,0,news_channel_17,2024-12-06
10132,5.47,771,22,2,lifestyle_channel_35,2024-11-20
10133,1.71,422,27,0,travel_channel_8,2024-10-16
10134,8.2,216,17,0,entertainment_channel_23,2024-11-25
10135,1.54,1589,422,3,travel_channel_30,2024-12-20
10136,4.13,868,41,3,business_channel_22,2024-11-26
10137,2.15,1647,62,22,travel_channel_4,2024-11-18
10138,6.41,645,69,12,travel_channel_34,2024-11-23
10139,8.11,215,6,1,travel_channel_40,2024-10-30
10140,93.05,70,7,0,business_channel_22,2024-10-29
10141,1.23,681,73,6,sports_channel_10,2024-11-14
10142,6.58,473,34,8,tech_channel_32,2024-10-14
10143,9.85,163,11,0,travel_channel_40,2024-11-25
10144,3.76,793,83,4,entertainment_channel_15,2024-10-25
10145,7.92,74,4,0,business_channel_11,2024-11-20
10146,9.78,709,61,12,sports_channel_5,2024-12-01
10147,2.35,708,4,0,sports_channel_15,2024-11-19
10148,3.29,910,90,19,sports_channel_31,2024-10-10
10149,1.6,1052,62,0,news_channel_33,2024-12-06
10150,9.61,530,37,0,travel_channel_30,2024-12-22
10151,6.94,551,49,0,sports_channel_6,2024-11-20
10152,1.38,2000,222,25,news_channel_14,2024-12-08
10153,2.15,831,54,5,travel_channel_30,2024-10-24
10154,3.57,1175,77,4,lifestyle_channel_30,2024-12-17
10155,7.99,421,40,0,lifestyle_channel_17,2024-11-29
10156,5.55,846,37,1,education_channel_45,2024-11-19
10157,67.27,128,8,2,lifestyle_channel_35,2024-11-10
10158,6.0,816,24,0,sports_channel_15,2024-11-02
10159,7.71,287,7,0,news_channel_21,2024-12-15
10160,4.52,636,51,0,business_channel_34,2024-12-01
10161,6.78,128,19,2,lifestyle_channel_30,2024-11-07
10162,1.53,1193,59,0,travel_channel_16,2024-10-12
10163,1.8,616,48,7,lifestyle_channel_35,2024-12-02
10164,6.15,462,15,5,entertainment_channel_23,2024-11-08
10165,8.85,489,25,0,entertainment_channel_15,2024-10-24
10166,7.89,215,39,0,travel_channel_16,2024-10-05
10167,3.36,481,23,3,business_channel_49,2024-12-31
10168,9.16,174,6,0,tech_channel_36,2024-11-17
10169,9.43,106,17,1,travel_channel_16,2024-12-29
10170,64.77,56,1,0,travel_channel_8,2024-11-12
10171,8.74,489,34,1,entertainment_channel_23,2024-11-10
10172,6.86,455,64,6,entertainment_channel_21,2024-10-26
10173,2.48,834,16,3,lifestyle_channel_5,2024-11-17
10174,1.24,403,7,0,education_channel_45,2024-11-11
10175,7.98,717,8,0,lifestyle_channel_5,2024-10-12
10176,2.42,1573,278,58,news_channel_26,2024-11-23
10177,4.96,532,45,3,travel_channel_34,2024-11-14
10178,2.46,182,16,1,education_channel_45,2024-12-20
10179,83.72,86,8,0,news_channel_26,2024-10-25
10180,7.41,523,43,7,travel_channel_8,2024-12-27
10181,4.17,935,72,3,news_channel_26,2024-12-13
10182,30.45,213,18,0,news_channel_4,2024-11-06
10183,6.88,843,91,15,tech_channel_21,2024-11-25
10184,5.14,1023,246,51,business_channel_18,2024-10-06
10185,36.3,245,36,0,tech_channel_36,2024-11-07
10186,1.11,1339,345,2,sports_channel_15,2024-11-19
10187,70.1,134,19,6,tech_channel_36,2024-11-09
10188,6.39,167,21,1,tech_channel_30,2024-12-28
10189,3.85,636,82,4,news_channel_33,2024-10-07
10190,1.94,1004,122,7,travel_channel_4,2024-10-06
10191,3.29,548,57,1,travel_channel_8,2024-11-06
10192,2.97,188,3,0,news_channel_26,2024-10-27
10193,1.78,1332,179,24,business_channel_11,2024-10-26
10194,9.17,492,10,0,sports_channel_6,2024-11-06
10195,2.03,799,31,0,entertainment_channel_23,2024-10-29
10196,7.11,335,13,2,business_channel_11,2024-11-21
10197,9.12,103,1,0,business_channel_18,2024-11-13
10198,6.87,721,30,3,travel_channel_49,2024-10-11
10199,8.4,825,12,0,lifestyle_channel_5,2024-10-20
10200,4.87,261,31,0,travel_channel_20,2024-12-13
10201,7.09,557,132,0,entertainment_channel_15,2024-10-06
10202,1.28,1175,97,12,entertainment_channel_15,2024-10-06
10203,38.26,262,6,0,lifestyle_channel_35,2024-10-05
10204,4.96,328,84,24,news_channel_33,2024-10-04
10205,6.22,183,11,0,travel_channel_30,2024-10-11
10206,1.36,1299,109,1,entertainment_channel_23,2024-10-02
10207,8.89,530,50,3,entertainment_channel_23,2024-12-02
10208,2.83,1086,4,0,education_channel_45,2024-12-31
10209,9.6,145,6,0,lifestyle_channel_30,2024-12-04
10210,5.59,698,58,7,travel_channel_20,2024-12-03
10211,3.51,512,24,2,business_channel_5,2024-11-17
10212,2.29,1737,242,3,sports_channel_15,2024-11-30
10213,1.59,757,57,0,business_channel_49,2024-12-11
10214,7.36,107,2,0,travel_channel_40,2024-10-27
10215,5.29,359,61,0,sports_channel_5,2024-12-21
10216,5.04,636,63,8,education_channel_6,2024-12-10
10217,7.98,289,47,7,travel_channel_16,2024-12-15
10218,5.6,116,6,0,business_channel_22,2024-10-09
10219,3.43,1206,191,6,education_channel_6,2024-11-30
10220,7.18,392,58,6,travel_channel_4,2024-10-22
10221,73.23,46,4,0,travel_channel_40,2024-12-11
10222,5.12,260,14,2,business_channel_11,2024-11-12
10223,8.92,204,25,3,tech_channel_36,2024-10-25
10224,4.56,676,36,0,news_channel_17,2024-12-02
10225,4.41,346,30,5,business_channel_49,2024-12-10
10226,5.18,1109,24,1,business_channel_11,2024-10-12
10227,3.64,973,71,16,sports_channel_10,2024-11-13
10228,80.49,131,2,0,tech_channel_2,2024-12-21
10229,9.62,649,41,1,lifestyle_channel_35,2024-10-11
10230,2.27,1241,35,2,business_channel_22,2024-12-17
10231,36.15,147,24,1,business_channel_34,2024-12-06
10232,7.12,139,7,0,news_channel_19,2024-11-30
10233,8.59,731,18,0,travel_channel_16,2024-10-30
10234,6.6,689,71,6,travel_channel_49,2024-12-24
10235,2.46,1077,125,12,education_channel_8,2024-10-22
10236,8.63,420,23,0,travel_channel_4,2024-12-30
10237,14.04,351,5,0,tech_channel_21,2024-11-18
10238,3.26,752,17,0,travel_channel_49,2024-10-31
10239,2.58,1241,138,5,business_channel_34,2024-10-14
10240,4.18,1175,66,3,tech_channel_36,2024-11-15
10241,8.7,187,4,0,travel_channel_20,2024-10-12
10242,7.24,632,7,0,news_channel_21,2024-12-18
10243,30.35,113,0,0,business_channel_35,2024-12-08
10244,7.41,538,72,6,news_channel_17,2024-12-02
10245,5.9,554,7,0,education_channel_8,2024-11-14
10246,7.43,582,78,9,tech_channel_30,2024-11-24
10247,72.51,129,20,0,business_channel_35,2024-12-16
10248,73.11,137,9,1,lifestyle_channel_35,2024-12-15
10249,1.1,2000,312,32,entertainment_channel_15,2024-12-29
10250,5.54,773,93,1,news_channel_14,2024-11-22
10251,8.17,235,7,0,lifestyle_channel_5,2024-12-25
10252,4.01,828,62,0,business_channel_27,2024-11-01
10253,6.69,256,19,1,education_channel_8,2024-11-10
10254,5.67,331,26,1,sports_channel_10,2024-12-07
10255,5.35,289,4,0,news_channel_14,2024-12-19
10256,1.83,1581,32,0,travel_channel_8,2024-11-30
10257,3.44,923,139,14,travel_channel_20,2024-11-22
10258,1.14,1540,177,4,news_channel_26,2024-12-17
10259,49.06,63,4,0,tech_channel_30,2024-10-18
10260,1.82,634,30,0,business_channel_11,2024-12-04
10261,1.73,2000,169,19,business_channel_28,2024-11-04
10262,1.62,1302,126,18,lifestyle_channel_18,2024-11-30
10263,3.24,940,100,14,news_channel_26,2024-12-30
10264,1.2,980,87,7,travel_channel_16,2024-12-03
10265,2.44,229,7,0,tech_channel_30,2024-10-24
10266,3.25,751,23,1,travel_channel_4,2024-12-09
10267,88.87,28,0,0,education_channel_49,2024-12-28
10268,77.35,73,9,0,entertainment_channel_34,2024-12-18
10269,1.17,774,183,14,business_channel_22,2024-10-07
10270,1.52,903,89,4,entertainment_channel_34,2024-12-17
10271,4.71,942,133,7,education_channel_8,2024-12-18
10272,2.86,753,82,11,lifestyle_channel_5,2024-10-07
10273,7.2,198,6,0,news_channel_4,2024-10-14
10274,8.12,367,15,3,business_channel_11,2024-10-13
10275,15.99,244,36,1,business_channel_49,2024-12-31
10276,4.15,478,38,4,sports_channel_15,2024-10-12
10277,7.96,413,77,9,sports_channel_31,2024-11-09
10278,7.04,552,34,5,entertainment_channel_28,2024-12-02
10279,62.09,115,24,0,business_channel_12,2024-11-23
10280,4.82,1101,29,3,news_channel_17,2024-10-06
10281,67.27,56,2,0,business_channel_28,2024-11-13
10282,8.0,576,60,0,travel_channel_49,2024-10-19
10283,7.0,347,32,5,business_channel_28,2024-12-24
10284,6.19,112,12,0,sports_channel_10,2024-10-04
10285,4.24,902,62,6,business_channel_12,2024-11-20
10286,1.35,2000,384,19,lifestyle_channel_18,2024-11-05
10287,6.37,1079,80,22,business_channel_35,2024-12-22
10288,7.44,383,93,21,travel_channel_20,2024-10-16
10289,6.84,234,7,0,business_channel_12,2024-11-13
10290,2.53,204,33,10,entertainment_channel_21,2024-11-14
10291,6.15,412,175,0,entertainment_channel_28,2024-10-05
10292,6.46,836,21,0,business_channel_12,2024-10-16
10293,12.7,482,55,2,travel_channel_4,2024-10-08
10294,83.53,165,13,0,travel_channel_8,2024-11-09
10295,2.33,1787,171,7,tech_channel_36,2024-10-18
10296,2.17,652,34,0,entertainment_channel_34,2024-12-01
10297,5.36,424,23,0,education_channel_8,2024-10-06
10298,5.39,157,24,1,sports_channel_5,2024-10-31
10299,8.76,255,62,8,business_channel_12,2024-11-01
10300,8.54,325,5,0,news_channel_26,2024-11-08
10301,6.8,245,7,0,entertainment_channel_34,2024-11-14
10302,2.65,1169,33,1,sports_channel_15,2024-11-05
10303,2.58,968,40,0,sports_channel_31,2024-11-20
10304,6.65,531,5,1,travel_channel_4,2024-10-15
10305,5.2,767,45,2,travel_channel_8,2024-11-02
10306,4.06,790,72,0,travel_channel_4,2024-11-02
10307,8.55,158,3,0,sports_channel_15,2024-10-20
10308,8.21,342,49,3,sports_channel_10,2024-12-06
10309,1.6,286,52,0,travel_channel_16,2024-12-06
10310,6.5,533,59,11,news_channel_14,2024-12-04
10311,7.36,703,28,0,travel_channel_34,2024-10-19
10312,4.35,827,42,14,education_channel_6,2024-10-18
10313,3.22,738,82,16,sports_channel_31,2024-10-25
10314,90.6,108,25,1,business_channel_28,2024-12-13
10315,2.08,1385,155,6,news_channel_33,2024-12-24
10316,6.93,819,59,2,education_channel_49,2024-11-18
10317,8.21,137,4,0,business_channel_11,2024-12-31
10318,5.79,147,15,4,tech_channel_2,2024-12-03
10319,48.81,66,6,0,travel_channel_4,2024-12-25
10320,8.39,337,6,0,business_channel_12,2024-11-11
10321,8.57,189,18,0,business_channel_12,2024-10-18
10322,5.28,377,39,0,business_channel_27,2024-11-12
10323,6.52,812,61,8,news_channel_17,2024-11-28
10324,1.95,760,135,2,tech_channel_2,2024-11-13
10325,1.38,991,70,7,news_channel_21,2024-12-10
10326,7.77,442,46,6,tech_channel_36,2024-12-27
10327,4.88,508,66,4,news_channel_14,2024-11-07
10328,1.06,2000,301,31,business_channel_22,2024-12-31
10329,8.05,282,24,0,business_channel_18,2024-10-04
10330,4.75,213,22,1,entertainment_channel_21,2024-12-03
10331,6.96,428,28,2,news_channel_4,2024-10-29
10332,1.1,2000,473,23,business_channel_11,2024-12-06
10333,3.44,1315,61,10,entertainment_channel_23,2024-12-07
10334,18.58,183,16,0,tech_channel_2,2024-12-24
10335,6.15,919,65,3,business_channel_35,2024-12-08
10336,7.27,216,23,0,business_channel_34,2024-11-13
10337,7.06,616,76,1,business_channel_34,2024-12-11
10338,5.21,599,112,4,travel_channel_8,2024-10-09
10339,8.41,451,62,0,entertainment_channel_34,2024-10-09
10340,6.35,567,84,2,business_channel_22,2024-11-28
10341,6.63,547,77,2,news_channel_17,2024-11-14
10342,1.12,434,41,0,education_channel_45,2024-11-27
10343,9.69,102,14,0,news_channel_14,2024-11-08
10344,2.29,1374,182,17,lifestyle_channel_17,2024-10-19
10345,36.62,22,3,0,business_channel_49,2024-10-22
10346,4.08,207,31,1,travel_channel_16,2024-10-09
10347,2.06,196,5,0,entertainment_channel_15,2024-12-18
10348,5.94,397,47,0,business_channel_22,2024-11-26
10349,49.97,129,5,0,tech_channel_21,2024-12-05
10350,2.15,1408,197,21,entertainment_channel_21,2024-11-02
10351,1.23,903,124,32,travel_channel_16,2024-12-24
10352,1.77,256,12,1,lifestyle_channel_35,2024-12-06
10353,7.2,227,28,2,travel_channel_20,2024-10-17
10354,7.32,422,12,0,business_channel_22,2024-11-12
10355,4.71,1031,115,0,lifestyle_channel_17,2024-11-30
10356,9.98,286,3,0,business_channel_28,2024-10-11
10357,8.32,682,200,8,tech_channel_36,2024-12-31
10358,2.88,223,7,0,travel_channel_34,2024-11-20
10359,6.09,744,34,2,sports_channel_15,2024-11-15
10360,5.29,705,124,22,news_channel_33,2024-10-10
10361,7.5,115,9,0,business_channel_49,2024-11-24
10362,8.33,204,53,4,lifestyle_channel_35,2024-10-22
10363,1.44,2000,209,37,travel_channel_49,2024-10-25
10364,6.39,458,99,5,travel_channel_8,2024-10-08
10365,7.0,129,16,0,lifestyle_channel_17,2024-12-24
10366,5.35,468,47,2,business_channel_35,2024-11-18
10367,14.38,71,4,0,entertainment_channel_23,2024-10-10
10368,1.69,447,45,13,entertainment_channel_15,2024-10-18
10369,5.99,139,15,0,business_channel_12,2024-12-01
10370,2.59,412,68,1,business_channel_35,2024-12-22
10371,9.3,95,12,0,tech_channel_36,2024-10-16
10372,9.8,178,34,4,entertainment_channel_34,2024-10-21
10373,2.26,819,75,7,travel_channel_49,2024-11-11
10374,2.43,2000,128,4,education_channel_49,2024-11-30
10375,5.25,577,6,0,sports_channel_15,2024-10-18
10376,8.17,548,16,2,education_channel_47,2024-12-20
10377,3.57,758,77,5,business_channel_12,2024-11-22
10378,9.07,143,10,0,sports_channel_15,2024-12-16
10379,2.63,550,27,2,travel_channel_40,2024-11-23
10380,1.79,614,33,0,sports_channel_5,2024-12-01
10381,11.81,146,16,2,sports_channel_31,2024-10-21
10382,3.58,898,92,1,business_channel_49,2024-11-20
10383,7.82,618,86,11,news_channel_14,2024-12-21
10384,9.69,284,38,3,entertainment_channel_34,2024-11-16
10385,3.09,574,7,0,entertainment_channel_23,2024-12-26
10386,2.65,1385,76,1,education_channel_8,2024-11-26
10387,8.73,761,34,1,business_channel_34,2024-11-02
10388,5.6,172,16,0,tech_channel_21,2024-12-11
10389,38.16,174,18,2,business_channel_5,2024-12-30
10390,7.46,442,14,0,entertainment_channel_34,2024-11-18
10391,8.46,617,119,4,tech_channel_21,2024-10-28
10392,2.01,992,113,20,tech_channel_21,2024-11-01
10393,1.1,1970,116,9,business_channel_35,2024-12-24
10394,5.57,241,16,0,sports_channel_10,2024-12-12
10395,6.84,366,21,1,business_channel_22,2024-12-25
10396,2.84,611,50,0,sports_channel_15,2024-10-09
10397,48.75,41,1,0,business_channel_28,2024-11-27
10398,7.08,584,30,9,business_channel_28,2024-11-03
10399,5.85,988,105,4,news_channel_17,2024-10-08
10400,1.01,1208,91,3,entertainment_channel_15,2024-11-24
10401,54.37,61,2,0,business_channel_5,2024-12-02
10402,9.18,194,6,1,entertainment_channel_15,2024-10-03
10403,7.92,926,53,3,business_channel_22,2024-10-13
10404,3.79,876,94,0,business_channel_11,2024-12-21
10405,1.36,1189,77,4,tech_channel_21,2024-12-07
10406,7.98,300,22,0,travel_channel_49,2024-11-25
10407,4.2,266,11,0,news_channel_21,2024-11-18
10408,4.26,807,20,3,sports_channel_6,2024-11-11
10409,1.23,1733,168,1,travel_channel_8,2024-12-02
10410,10.54,262,10,0,sports_channel_6,2024-12-24
10411,2.5,1360,261,24,business_channel_28,2024-12-16
10412,5.19,316,43,3,business_channel_27,2024-11-15
10413,9.19,429,17,0,news_channel_26,2024-10-23
10414,4.56,145,13,1,entertainment_channel_28,2024-12-13
10415,5.91,224,11,1,news_channel_26,2024-11-14
10416,57.25,140,16,0,education_channel_8,2024-12-01
10417,6.97,806,99,12,travel_channel_4,2024-11-02
10418,1.62,1976,185,8,entertainment_channel_28,2024-11-23
10419,8.83,130,7,0,news_channel_14,2024-12-26
10420,1.37,960,126,8,lifestyle_channel_30,2024-10-30
10421,3.33,207,14,1,education_channel_8,2024-10-14
10422,75.49,149,3,0,travel_channel_4,2024-12-06
10423,4.01,565,26,4,lifestyle_channel_35,2024-11-25
10424,9.4,582,50,0,lifestyle_channel_30,2024-11-01
10425,5.37,233,57,3,news_channel_14,2024-11-24
10426,7.92,113,13,0,sports_channel_6,2024-11-14
10427,5.04,739,24,0,business_channel_27,2024-11-17
10428,5.1,564,66,4,tech_channel_2,2024-10-22
10429,5.92,262,18,0,sports_channel_5,2024-11-08
